Point ID,arc_length,ClosestId(0),Distance(0),p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,Thrust_exit_plane,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
198,0.00355212,1,1.88454e+06,63245,0.162,0.00355212,0,0.162039,0.0711442,2217.43,240.845,1974.28,-18.7062,0,1974.36,1
199,0.00357006,1,2.40688e+06,63423.7,0.162,0.00357006,0,0.162039,0.0712948,2218.96,242.535,1977.52,-25.2882,0,1977.68,1
200,0.003588,1,2.99318e+06,63602.4,0.162,0.003588,0,0.16204,0.0714454,2220.48,244.225,1980.76,-31.8701,0,1981.02,1
201,0.00360594,1,3.64349e+06,63781.1,0.162,0.00360594,0,0.16204,0.0715959,2222.01,245.915,1984.01,-38.4521,0,1984.38,1
202,0.00362388,1,4.35776e+06,63959.7,0.162,0.00362388,0,0.162041,0.0717465,2223.54,247.605,1987.25,-45.0341,0,1987.76,1
203,0.00364182,1,5.13601e+06,64138.4,0.162,0.00364182,0,0.162041,0.0718971,2225.06,249.295,1990.49,-51.6161,0,1991.16,1
204,0.00365976,1,5.97823e+06,64317.1,0.162,0.00365976,0,0.162041,0.0720477,2226.59,250.985,1993.74,-58.198,0,1994.59,1
205,0.0036777,1,6.88443e+06,64495.8,0.162,0.0036777,0,0.162042,0.0721983,2228.11,252.675,1996.98,-64.7799,0,1998.03,1
206,0.00369564,1,7.85461e+06,64674.5,0.162,0.00369564,0,0.162042,0.0723488,2229.64,254.366,2000.22,-71.3619,0,2001.5,1
207,0.00371358,1,1.02321e+07,65070.8,0.162,0.00371358,0,0.162043,0.0727016,2232.46,257.294,2004.19,-80.1795,0,2005.79,1
208,0.00373152,1,1.4324e+07,65656.9,0.162,0.00373152,0,0.162043,0.073231,2236.42,261.303,2008.79,-90.9483,0,2010.84,1
209,0.00374946,1,1.91035e+07,66243,0.162,0.00374946,0,0.162043,0.0737603,2240.37,265.312,2013.38,-101.717,0,2015.95,1
210,0.0037674,1,2.45704e+07,66829.2,0.162,0.0037674,0,0.162044,0.0742896,2244.32,269.321,2017.98,-112.486,0,2021.11,1
211,0.00378534,1,3.07246e+07,67415.3,0.162,0.00378534,0,0.162044,0.0748189,2248.27,273.33,2022.58,-123.255,0,2026.33,1
212,0.00380328,2,3.55174e+07,68001.4,0.162,0.00380328,0,0.162045,0.0753482,2252.23,277.339,2027.18,-134.023,0,2031.6,1
213,0.00382122,2,2.88813e+07,68587.6,0.162,0.00382122,0,0.162045,0.0758775,2256.18,281.348,2031.77,-144.792,0,2036.93,1
214,0.00383916,2,2.29329e+07,69173.7,0.162,0.00383916,0,0.162045,0.0764068,2260.13,285.356,2036.37,-155.561,0,2042.3,1
215,0.0038571,2,1.76717e+07,69759.8,0.162,0.0038571,0,0.162046,0.0769361,2264.09,289.365,2040.97,-166.329,0,2047.73,1
216,0.00387504,2,1.3098e+07,70346,0.162,0.00387504,0,0.162046,0.0774654,2268.04,293.374,2045.57,-177.098,0,2053.22,1
217,0.00389298,2,9.36479e+06,70906.8,0.162,0.00389298,0,0.162047,0.0779689,2271.73,297.04,2049.3,-185.447,0,2057.68,1
218,0.00391092,2,6.7386e+06,71372.5,0.162,0.00391092,0,0.162047,0.0783758,2274.46,299.419,2049.82,-184.733,0,2058.12,1
219,0.00392886,2,4.54637e+06,71838.3,0.162,0.00392886,0,0.162048,0.0787827,2277.18,301.797,2050.33,-184.018,0,2058.57,1
220,0.0039468,2,2.78806e+06,72304.1,0.162,0.0039468,0,0.162048,0.0791895,2279.91,304.176,2050.85,-183.303,0,2059.02,1
221,0.00396474,2,1.46365e+06,72769.9,0.162,0.00396474,0,0.162049,0.0795964,2282.63,306.555,2051.36,-182.588,0,2059.47,1
222,0.00398268,2,573171,73235.6,0.162,0.00398268,0,0.162049,0.0800033,2285.36,308.934,2051.88,-181.874,0,2059.92,1
223,0.00400062,2,116625,73701.4,0.162,0.00400062,0,0.162049,0.0804102,2288.08,311.313,2052.39,-181.159,0,2060.37,1
224,0.00401856,2,94010,74167.2,0.162,0.00401856,0,0.16205,0.080817,2290.81,313.692,2052.91,-180.444,0,2060.82,1
225,0.0040365,2,505317,74633,0.162,0.0040365,0,0.16205,0.0812239,2293.53,316.071,2053.42,-179.729,0,2061.27,1
226,0.00405444,2,1.35054e+06,75098.8,0.162,0.00405444,0,0.162051,0.0816308,2296.26,318.449,2053.94,-179.015,0,2061.73,1
227,0.00407238,2,2.62968e+06,75564.5,0.162,0.00407238,0,0.162051,0.0820376,2298.98,320.828,2054.45,-178.3,0,2062.18,1
228,0.00409032,2,3.53885e+06,75827.7,0.162,0.00409032,0,0.162052,0.0822467,2300.32,322.183,2054.51,-165.136,0,2061.13,1
229,0.00410826,2,4.4773e+06,76065.2,0.162,0.00410826,0,0.162052,0.0824307,2301.48,323.408,2054.5,-150.392,0,2060,1
230,0.0041262,2,5.52894e+06,76302.6,0.162,0.0041262,0,0.162053,0.0826146,2302.65,324.633,2054.5,-135.648,0,2058.97,1
231,0.00414414,2,6.6938e+06,76540.1,0.162,0.00414414,0,0.162053,0.0827986,2303.81,325.858,2054.5,-120.904,0,2058.05,1
232,0.00416208,2,7.97192e+06,76777.6,0.162,0.00416208,0,0.162053,0.0829825,2304.98,327.082,2054.49,-106.16,0,2057.23,1
233,0.00418002,2,9.36316e+06,77015,0.162,0.00418002,0,0.162054,0.0831665,2306.14,328.307,2054.49,-91.4163,0,2056.52,1
234,0.00419796,2,1.08677e+07,77252.5,0.162,0.00419796,0,0.162054,0.0833505,2307.3,329.532,2054.48,-76.6723,0,2055.92,1
235,0.0042159,2,1.24854e+07,77489.9,0.162,0.0042159,0,0.162055,0.0835344,2308.47,330.757,2054.48,-61.9284,0,2055.41,1
236,0.00423384,2,1.42164e+07,77727.4,0.162,0.00423384,0,0.162055,0.0837184,2309.63,331.982,2054.48,-47.1845,0,2055.02,1
237,0.00425178,2,1.60605e+07,77964.9,0.162,0.00425178,0,0.162056,0.0839024,2310.79,333.207,2054.47,-32.4405,0,2054.73,1
238,0.00426972,2,1.53645e+07,77877.3,0.162,0.00426972,0,0.162056,0.0838218,2310.09,332.805,2054.36,-18.7591,0,2054.45,1
239,0.00428766,2,1.28226e+07,77538.5,0.162,0.00428766,0,0.162057,0.0835369,2307.94,331.146,2054.17,-5.8986,0,2054.18,1
240,0.0043056,2,1.05107e+07,77199.8,0.162,0.0043056,0,0.162057,0.083252,2305.79,329.488,2053.98,6.96153,0,2053.99,1
241,0.00432354,2,8.42849e+06,76861,0.162,0.00432354,0,0.162058,0.0829671,2303.64,327.829,2053.79,19.822,0,2053.89,1
242,0.00434148,2,6.57616e+06,76522.3,0.162,0.00434148,0,0.162058,0.0826822,2301.49,326.17,2053.6,32.6825,0,2053.86,1
243,0.00435942,2,4.95367e+06,76183.5,0.162,0.00435942,0,0.162059,0.0823973,2299.34,324.511,2053.41,45.5429,0,2053.92,1
244,0.00437736,2,3.56104e+06,75844.8,0.162,0.00437736,0,0.162059,0.0821124,2297.19,322.853,2053.22,58.4034,0,2054.05,1
245,0.0043953,2,2.39825e+06,75506,0.162,0.0043953,0,0.16206,0.0818275,2295.04,321.194,2053.03,71.2639,0,2054.27,1
246,0.00441324,2,1.46532e+06,75167.3,0.162,0.00441324,0,0.16206,0.0815426,2292.89,319.535,2052.84,84.1243,0,2054.56,1
247,0.00443118,2,762243,74828.5,0.162,0.00443118,0,0.162061,0.0812577,2290.74,317.877,2052.65,96.9845,0,2054.94,1
248,0.00444912,2,291451,74492.2,0.162,0.00444912,0,0.162061,0.0809816,2288.57,316.259,2052.57,109.107,0,2055.46,1
249,0.00446706,2,49939,74163.4,0.162,0.00446706,0,0.162062,0.0807336,2286.32,314.772,2052.81,118.902,0,2056.25,1
250,0.004485,2,24858.1,73834.6,0.162,0.004485,0,0.162062,0.0804856,2284.07,313.284,2053.06,128.697,0,2057.09,1
251,0.00450294,2,216209,73505.8,0.162,0.00450294,0,0.162063,0.0802376,2281.82,311.797,2053.3,138.492,0,2057.97,1
252,0.00452088,2,623991,73177,0.162,0.00452088,0,0.162063,0.0799896,2279.57,310.31,2053.55,148.287,0,2058.9,1
253,0.00453882,2,1.24821e+06,72848.2,0.162,0.00453882,0,0.162064,0.0797416,2277.33,308.822,2053.8,158.082,0,2059.87,1
254,0.00455676,2,2.08883e+06,72519.4,0.162,0.00455676,0,0.162064,0.0794935,2275.08,307.335,2054.04,167.877,0,2060.89,1
255,0.0045747,2,3.1459e+06,72190.6,0.162,0.0045747,0,0.162065,0.0792455,2272.83,305.847,2054.29,177.672,0,2061.96,1
256,0.00459264,2,4.4194e+06,71861.8,0.162,0.00459264,0,0.162065,0.0789975,2270.58,304.36,2054.53,187.467,0,2063.07,1
257,0.00461058,2,5.90938e+06,71532.9,0.162,0.00461058,0,0.162066,0.0787495,2268.33,302.873,2054.78,197.262,0,2064.23,1
258,0.00462852,2,7.61575e+06,71204.1,0.162,0.00462852,0,0.162066,0.0785015,2266.08,301.385,2055.03,207.057,0,2065.43,1
259,0.00464646,2,5.9575e+06,71523.5,0.162,0.00464646,0,0.162067,0.0788,2267.41,303.683,2057.13,204.066,0,2067.22,1
